title,company,salary,experience,location,skills,url,source,scraped_at,job_date_str
Junior Frontend,CÔNG TY TNHH ALCHEMY TECHNOLOGIES,Thoả thuận,,Hồ Chí Minh (mới),"Dưới 1 năm kinh nghiệm chuyên môn, Frontend Developer, IT - Phần mềm, Nghỉ thứ 7, Cao Đẳng trở lên",https://www.topcv.vn/viec-lam/junior-frontend/2189465.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:18,2026-06-10
Nhân Viên Lập Trình,CÔNG TY CỔ PHẦN CÔNG NGHỆ DỊCH VỤ MITEK,Thoả thuận,,Hồ Chí Minh (mới),"Dưới 1 năm kinh nghiệm chuyên môn, Fullstack Developer, IT - Phần mềm, Nghỉ thứ 7, Đại Học trở lên, Bảo hiểm xã hội, Bảo hiểm sức khỏe, Khám sức khỏe định kỳ, Thưởng tháng 13",https://www.topcv.vn/viec-lam/nhan-vien-lap-trinh/2192665.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:18,2026-06-10
"Lập Trình Viên Backend: Springboot, Java",CÔNG TY CỔ PHẦN CÔNG NGHỆ FDS,Thoả thuận,,Hà Nội,"2 năm kinh nghiệm chuyên môn, Backend Developer, IT - Phần mềm, Nghỉ thứ 7, Cao Đẳng trở lên, Bảo hiểm xã hội, Thưởng tháng 13, Thưởng hiệu quả làm việc",https://www.topcv.vn/viec-lam/lap-trinh-vien-backend-springboot-java/2186760.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:18,2026-06-03
"Lập Trình Viên FrontEnd: VueJS, ReactNative",CÔNG TY CỔ PHẦN CÔNG NGHỆ FDS,Thoả thuận,,Hà Nội,"2 năm kinh nghiệm chuyên môn, Frontend Developer, IT - Phần mềm, Chính phủ/Dịch vụ công, Nghỉ thứ 7, Cao Đẳng trở lên, Bảo hiểm xã hội, Bảo hiểm sức khỏe, Thưởng tháng 13, Thưởng hiệu quả làm việc, Phụ cấp: Xăng xe",https://www.topcv.vn/viec-lam/lap-trinh-vien-frontend-vuejs-reactnative/2186775.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:18,2026-06-03
Kỹ Sư Phát Triển Phần Mềm Thu Nhập Từ 20 Triệu -30 Triệu,CÔNG TY TNHH INPA VIỆT NAM,20 - 30 triệu,,Hồ Chí Minh (mới),"5 năm kinh nghiệm chuyên môn, Backend Developer, IT - Phần mềm, Điện / Điện tử / Điện lạnh, Tiếng Anh Giao tiếp thành thạo, Tuổi 28 - 40, Đại Học trở lên, Nam, Bảo hiểm xã hội",https://www.topcv.vn/viec-lam/ky-su-phat-trien-phan-mem-thu-nhap-tu-20-trieu-30-trieu/2190918.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:18,2026-06-10
Kỹ Sư Phát Triển Mobile App (Android),TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Thoả thuận,,Hà Nội,"2 năm kinh nghiệm chuyên môn, Mobile Developer, IT - Phần mềm, Nghỉ thứ 7, Tiếng Anh TOEIC 550, Từ 25 tuổi trở lên, Đại Học trở lên, Bảo hiểm xã hội, Bảo hiểm sức khỏe, Khám sức khỏe định kỳ, Team building, Du lịch hàng năm, Phụ cấp thâm niên, Thưởng tháng 13, Thưởng hiệu quả làm việc, Phụ cấp: Ăn trưa, Xăng xe, Cước điện thoại, Thiết bị: Máy tính",https://www.topcv.vn/viec-lam/ky-su-phat-trien-mobile-app-android/2065597.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:18,2026-06-03
Senior .NET Developer,FINOTECH VIỆT NAM,25 - 45 triệu,,Hà Nội,"4 năm kinh nghiệm chuyên môn, Software Engineer, IT - Phần mềm, Ngân hàng, Nghỉ thứ 7, Đại Học trở lên",https://www.topcv.vn/viec-lam/senior-net-developer/2189358.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:18,2026-06-10
IOS Developer (Từ 1 Năm Kinh Nghiệm),Công ty Cổ phần Công nghệ eUp,Thoả thuận,,Hà Nội,"1 năm kinh nghiệm chuyên môn, Mobile Developer, IT - Phần mềm, Nghỉ thứ 7, Tiếng Anh Đọc hiểu, Đại Học trở lên, Bảo hiểm xã hội, Bảo hiểm sức khỏe, Khám sức khỏe định kỳ, Team building, Du lịch hàng năm, Thưởng tháng 13, Thưởng hiệu quả làm việc",https://www.topcv.vn/brand/eup/tuyen-dung/ios-developer-tu-1-nam-kinh-nghiem-j2188482.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:18,2026-06-10
Kỹ Sư Phần Mềm,Công ty TNHH Một thành viên Ứng dụng Kỹ thuật và Sản xuất – Chi nhánh Hà Nội,Thoả thuận,,Hà Nội,"1 năm kinh nghiệm chuyên môn, Software Engineer, IT - Phần mềm, Nghỉ thứ 7, Đại Học trở lên",https://www.topcv.vn/viec-lam/ky-su-phan-mem/2185852.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:18,2026-06-03
Java Developer (Senior/ Techlead),VIETTEL DIGITAL SERVICES CORPORATION - BRANCH OF VIETTEL GROUP,Thoả thuận,,Hà Nội,"5 năm kinh nghiệm chuyên môn, Backend Developer, IT - Phần mềm, Ngân hàng, Tài chính, Nghỉ thứ 7, Đại Học trở lên",https://www.topcv.vn/viec-lam/java-developer-senior-techlead/2180833.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:18,2026-06-10
