title,company,salary,experience,location,skills,url,source,scraped_at,job_date_str
Mới Head Of Company Secretary And Legal,NAB Innovation Centre Vietnam,Thương lượng,,"Hà Nội, Hồ Chí Minh","Communication, Compliance Management",https://www.vietnamworks.com/head-of-company-secretary-and-legal-2058976-jv?source=searchResults&searchType=2&placement=2058976&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:52,
Mới Nhân Viên Kinh Doanh (Sản Phẩm CNTT - DDH BOX) - Thưởng Hấp Dẫn,Công Ty Cổ Phần Đầu Tư Thương Mại Và Phát Triển Công Nghệ FSI,Thương lượng,,"Hà Nội, Hồ Chí Minh","Bán Hàng Kỹ Thuật, Xúc Tiến Dự Án",https://www.vietnamworks.com/nhan-vien-kinh-doanh-san-pham-cntt-ddh-box-thuong-hap-dan--2062930-jv?source=searchResults&searchType=2&placement=2062930&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:52,
Mới Head of Data Privacy & Compliance,CÔNG TY CỔ PHẦN VINSMART FUTURE,Thương lượng,,"Hồ Chí Minh, Hà Nội","Data Privacy, Information Security, IT Security",https://www.vietnamworks.com/head-of-data-privacy-and-compliance-2056767-jv?source=searchResults&searchType=2&placement=2056767&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:52,
"Mới Head Of Reporting, Governance Program Execution And Third-Party Risk Management",NAB Innovation Centre Vietnam,Thương lượng,,"Hà Nội, Hồ Chí Minh","Communication Skills, Data Analysis, Governance",https://www.vietnamworks.com/head-of-reporting-governance-program-execution-and-third-party-risk-management-2059026-jv?source=searchResults&searchType=2&placement=2059026&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:53,
Mới Head Of Product Delivery And Operations,NAB Innovation Centre Vietnam,Thương lượng,,"Hồ Chí Minh, Hà Nội","Data Management, Product Management, AI/ML Models",https://www.vietnamworks.com/head-of-product-delivery-and-operations-2058983-jv?source=searchResults&searchType=2&placement=2058983&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:53,
Mới Chuyên Viên L&D (Chuyên Viên Đào Tạo và Phát Triển),MISA Jointstock Company,Thương lượng,,"Hà Nội, Hồ Chí Minh","Quản Trị Nhân Lực, Learning and Development",https://www.vietnamworks.com/chuyen-vien-l-d-chuyen-vien-dao-tao-va-phat-trien-2062876-jv?source=searchResults&searchType=2&placement=2062876&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:53,
Mới Giám đốc Vận Hành Cloud,CÔNG TY CỔ PHẦN VINSMART FUTURE,Thương lượng,,Hà Nội,"Cloud Management, Cloud Security, Kubernetes",https://www.vietnamworks.com/giam-djoc-van-hanh-cloud-2066283-jv?source=searchResults&searchType=2&placement=2066283&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:53,
"Mới Technical Program Manager, Pixel Phone",Google,Thương lượng,,Hà Nội,"Communication, Consumer Electronics",https://www.vietnamworks.com/technical-program-manager-pixel-phone-2057325-jv?source=searchResults&searchType=2&placement=2057325&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:53,
Mới Trưởng Nhóm/Chuyên Viên Mua Hàng,CÔNG TY CỔ PHẦN VINSMART FUTURE,Thương lượng,,Hà Nội,"Communication, Contract Management",https://www.vietnamworks.com/truong-nhomchuyen-vien-mua-hang-2066268-jv?source=searchResults&searchType=2&placement=2066268&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:53,
Mới Nhân Viên Quản Lý Phần Mềm,"Panasonic Industrial Devices Vietnam CO., LTD (PIDVN)",Thương lượng,,Hà Nội,"Hỗ Trợ Người Dùng, Mysql, Oracle",https://www.vietnamworks.com/nhan-vien-quan-ly-phan-mem-2066056-jv?source=searchResults&searchType=2&placement=2066056&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:53,
